"","Site","Year","Date","Plot","Location","Snow_cover","Water_cover","Land_cover","Total_cover","Observer","Notes"
"1","barr",2011,"29-May-11","brw1","b10",90,0,10,100,"adoll",NA
"2","barr",2011,"29-May-11","brw1","b12",100,0,0,100,"adoll",NA
"3","barr",2011,"29-May-11","brw1","b2",90,0,10,100,"adoll",NA
"4","barr",2011,"29-May-11","brw1","b4",100,0,0,100,"adoll",NA
"5","barr",2011,"29-May-11","brw1","b6",95,0,5,100,"adoll",NA
"6","barr",2011,"29-May-11","brw1","b8",95,0,5,100,"adoll",NA
"7","barr",2011,"29-May-11","brw1","d10",95,0,5,100,"adoll",NA
"8","barr",2011,"29-May-11","brw1","d12",90,0,10,100,"adoll",NA
"9","barr",2011,"29-May-11","brw1","d2",95,0,5,100,"adoll",NA
"10","barr",2011,"29-May-11","brw1","d4",95,0,5,100,"adoll",NA
"11","barr",2011,"29-May-11","brw1","d6",90,10,0,100,"adoll",NA
"12","barr",2011,"29-May-11","brw1","d8",90,0,10,100,"adoll",NA
"13","barr",2011,"29-May-11","brw1","f10",95,0,5,100,"adoll",NA
"14","barr",2011,"29-May-11","brw1","f12",90,0,10,100,"adoll",NA
"15","barr",2011,"29-May-11","brw1","f2",80,0,20,100,"adoll",NA
"16","barr",2011,"29-May-11","brw1","f4",90,0,10,100,"adoll",NA
"17","barr",2011,"29-May-11","brw1","f6",95,0,5,100,"adoll",NA
"18","barr",2011,"29-May-11","brw1","f8",90,0,10,100,"adoll",NA
"19","barr",2011,"29-May-11","brw1","h10",95,0,5,100,"adoll",NA
"20","barr",2011,"29-May-11","brw1","h12",80,5,15,100,"adoll",NA
"21","barr",2011,"29-May-11","brw1","h2",90,0,10,100,"adoll",NA
"22","barr",2011,"29-May-11","brw1","h4",90,5,5,100,"adoll",NA
"23","barr",2011,"29-May-11","brw1","h6",90,0,10,100,"adoll",NA
"24","barr",2011,"29-May-11","brw1","h8",95,5,0,100,"adoll",NA
"25","barr",2011,"29-May-11","brw1","j10",100,0,0,100,"adoll",NA
"26","barr",2011,"29-May-11","brw1","j12",90,5,5,100,"adoll",NA
"27","barr",2011,"29-May-11","brw1","j2",70,0,30,100,"adoll",NA
"28","barr",2011,"29-May-11","brw1","j4",90,0,10,100,"adoll",NA
"29","barr",2011,"29-May-11","brw1","j6",85,5,10,100,"adoll",NA
"30","barr",2011,"29-May-11","brw1","j8",95,0,5,100,"adoll",NA
"31","barr",2011,"29-May-11","brw1","l10",95,0,5,100,"adoll",NA
"32","barr",2011,"29-May-11","brw1","l12",95,5,0,100,"adoll",NA
"33","barr",2011,"29-May-11","brw1","l2",50,0,50,100,"adoll",NA
"34","barr",2011,"29-May-11","brw1","l4",85,0,15,100,"adoll",NA
"35","barr",2011,"29-May-11","brw1","l6",90,0,10,100,"adoll",NA
"36","barr",2011,"29-May-11","brw1","l8",85,0,15,100,"adoll",NA
"37","barr",2011,"29-May-11","brw2","b10",90,0,10,100,"adoll",NA
"38","barr",2011,"29-May-11","brw2","b12",95,0,5,100,"adoll",NA
"39","barr",2011,"29-May-11","brw2","b2",20,10,70,100,"adoll",NA
"40","barr",2011,"29-May-11","brw2","b4",40,0,60,100,"adoll",NA
"41","barr",2011,"29-May-11","brw2","b6",50,0,50,100,"adoll",NA
"42","barr",2011,"29-May-11","brw2","b8",60,0,40,100,"adoll",NA
"43","barr",2011,"29-May-11","brw2","d10",50,0,50,100,"adoll",NA
"44","barr",2011,"29-May-11","brw2","d12",40,5,55,100,"adoll",NA
"45","barr",2011,"29-May-11","brw2","d2",10,10,80,100,"adoll",NA
"46","barr",2011,"29-May-11","brw2","d4",20,10,70,100,"adoll",NA
"47","barr",2011,"29-May-11","brw2","d6",20,5,75,100,"adoll",NA
"48","barr",2011,"29-May-11","brw2","d8",40,0,60,100,"adoll",NA
"49","barr",2011,"29-May-11","brw2","f10",40,5,55,100,"adoll",NA
"50","barr",2011,"29-May-11","brw2","f12",30,0,70,100,"adoll",NA
"51","barr",2011,"29-May-11","brw2","f2",65,0,35,100,"adoll",NA
"52","barr",2011,"29-May-11","brw2","f4",20,0,80,100,"adoll",NA
"53","barr",2011,"29-May-11","brw2","f6",20,0,80,100,"adoll",NA
"54","barr",2011,"29-May-11","brw2","f8",40,0,60,100,"adoll",NA
"55","barr",2011,"29-May-11","brw2","h10",60,0,40,100,"adoll",NA
"56","barr",2011,"29-May-11","brw2","h12",90,0,10,100,"adoll",NA
"57","barr",2011,"29-May-11","brw2","h2",50,10,40,100,"adoll",NA
"58","barr",2011,"29-May-11","brw2","h4",50,10,40,100,"adoll",NA
"59","barr",2011,"29-May-11","brw2","h6",30,0,70,100,"adoll",NA
"60","barr",2011,"29-May-11","brw2","h8",10,10,80,100,"adoll",NA
"61","barr",2011,"29-May-11","brw2","j10",80,0,20,100,"adoll",NA
"62","barr",2011,"29-May-11","brw2","j12",80,0,20,100,"adoll",NA
"63","barr",2011,"29-May-11","brw2","j2",70,5,25,100,"adoll",NA
"64","barr",2011,"29-May-11","brw2","j4",40,0,60,100,"adoll",NA
"65","barr",2011,"29-May-11","brw2","j6",30,10,60,100,"adoll",NA
"66","barr",2011,"29-May-11","brw2","j8",60,0,40,100,"adoll",NA
"67","barr",2011,"29-May-11","brw2","l10",75,5,20,100,"adoll",NA
"68","barr",2011,"29-May-11","brw2","l12",60,0,40,100,"adoll",NA
"69","barr",2011,"29-May-11","brw2","l2",60,10,30,100,"adoll",NA
"70","barr",2011,"29-May-11","brw2","l4",40,5,55,100,"adoll",NA
"71","barr",2011,"29-May-11","brw2","l6",50,0,50,100,"adoll",NA
"72","barr",2011,"29-May-11","brw2","l8",60,0,40,100,"adoll",NA
"73","barr",2011,"29-May-11","brw6","b10",10,15,75,100,"adoll",NA
"74","barr",2011,"29-May-11","brw6","b12",70,0,30,100,"adoll",NA
"75","barr",2011,"29-May-11","brw6","b2",80,0,20,100,"adoll",NA
"76","barr",2011,"29-May-11","brw6","b4",90,0,10,100,"adoll",NA
"77","barr",2011,"29-May-11","brw6","b6",95,0,5,100,"adoll",NA
"78","barr",2011,"29-May-11","brw6","b8",10,25,65,100,"adoll",NA
"79","barr",2011,"29-May-11","brw6","d10",40,5,55,100,"adoll",NA
"80","barr",2011,"29-May-11","brw6","d12",50,5,45,100,"adoll",NA
"81","barr",2011,"29-May-11","brw6","d8",60,20,20,100,"adoll",NA
"82","barr",2011,"29-May-11","brw6","f10",10,5,85,100,"adoll",NA
"83","barr",2011,"29-May-11","brw6","f12",50,0,50,100,"adoll",NA
"84","barr",2011,"29-May-11","brw6","h10",20,20,60,100,"adoll",NA
"85","barr",2011,"29-May-11","brw6","h12",10,10,80,100,"adoll",NA
"86","barr",2011,"29-May-11","brw6","h6",0,0,100,100,"adoll",NA
"87","barr",2011,"29-May-11","brw6","h8",90,0,10,100,"adoll",NA
"88","barr",2011,"29-May-11","brw6","j10",60,30,10,100,"adoll",NA
"89","barr",2011,"29-May-11","brw6","j12",15,20,65,100,"adoll",NA
"90","barr",2011,"29-May-11","brw6","l10",100,0,0,100,"adoll",NA
"91","barr",2011,"29-May-11","brw6","l12",40,0,60,100,"adoll",NA
"92","barr",2011,"29-May-11","brw3","b10",85,0,15,100,"jcunningham",NA
"93","barr",2011,"29-May-11","brw3","b12",60,0,40,100,"jcunningham",NA
"94","barr",2011,"29-May-11","brw3","b2",60,0,40,100,"jcunningham",NA
"95","barr",2011,"29-May-11","brw3","b4",90,0,10,100,"jcunningham",NA
"96","barr",2011,"29-May-11","brw3","b6",90,0,10,100,"jcunningham",NA
"97","barr",2011,"29-May-11","brw3","b8",75,0,25,100,"jcunningham",NA
"98","barr",2011,"29-May-11","brw3","d10",95,0,5,100,"jcunningham",NA
"99","barr",2011,"29-May-11","brw3","d12",65,0,35,100,"jcunningham",NA
"100","barr",2011,"29-May-11","brw3","d2",80,0,20,100,"jcunningham",NA
"101","barr",2011,"29-May-11","brw3","d4",85,0,15,100,"jcunningham",NA
"102","barr",2011,"29-May-11","brw3","d6",95,0,5,100,"jcunningham",NA
"103","barr",2011,"29-May-11","brw3","d8",95,0,5,100,"jcunningham",NA
"104","barr",2011,"29-May-11","brw3","f10",100,0,0,100,"jcunningham",NA
"105","barr",2011,"29-May-11","brw3","f12",95,0,5,100,"jcunningham",NA
"106","barr",2011,"29-May-11","brw3","f2",90,0,10,100,"jcunningham",NA
"107","barr",2011,"29-May-11","brw3","f4",60,0,40,100,"jcunningham",NA
"108","barr",2011,"29-May-11","brw3","f6",85,0,15,100,"jcunningham",NA
"109","barr",2011,"29-May-11","brw3","f8",90,0,10,100,"jcunningham",NA
"110","barr",2011,"29-May-11","brw3","h10",95,0,5,100,"jcunningham",NA
"111","barr",2011,"29-May-11","brw3","h12",95,0,5,100,"jcunningham",NA
"112","barr",2011,"29-May-11","brw3","h2",100,0,0,100,"jcunningham",NA
"113","barr",2011,"29-May-11","brw3","h4",95,0,5,100,"jcunningham",NA
"114","barr",2011,"29-May-11","brw3","h6",50,0,50,100,"jcunningham",NA
"115","barr",2011,"29-May-11","brw3","h8",100,0,0,100,"jcunningham",NA
"116","barr",2011,"29-May-11","brw3","j10",100,0,0,100,"jcunningham",NA
"117","barr",2011,"29-May-11","brw3","j12",75,0,25,100,"jcunningham",NA
"118","barr",2011,"29-May-11","brw3","j2",100,0,0,100,"jcunningham",NA
"119","barr",2011,"29-May-11","brw3","j4",70,0,30,100,"jcunningham",NA
"120","barr",2011,"29-May-11","brw3","j6",60,0,40,100,"jcunningham",NA
"121","barr",2011,"29-May-11","brw3","j8",70,0,30,100,"jcunningham",NA
"122","barr",2011,"29-May-11","brw3","l10",80,0,20,100,"jcunningham",NA
"123","barr",2011,"29-May-11","brw3","l12",90,0,10,100,"jcunningham",NA
"124","barr",2011,"29-May-11","brw3","l2",100,0,0,100,"jcunningham",NA
"125","barr",2011,"29-May-11","brw3","l4",90,0,10,100,"jcunningham",NA
"126","barr",2011,"29-May-11","brw3","l6",70,0,30,100,"jcunningham",NA
"127","barr",2011,"29-May-11","brw3","l8",70,5,25,100,"jcunningham",NA
